🆕,D,S,NAME,PARENT TYPE,TYPE,BRAND,ORIGIN,ABV,DNGR ,SHWN ,FINAL,DONGER COMMENTS,SHAWOOBOO COMMENTS
,,,Weizen For a Relaxing Time,WHEAT ALES,Hefeweizen,ECHIGO BEER COMPANY,"Niigata, JAPAN",5.0%,4.8,4.7,4.8,"Minimal hefe vibes, more ike a pale ale with moderate grass and hop. Expensive.",meh with slight hop
,,,Yard House Belgian White,WHEAT ALES,Witbier,STONE BREWING,"Escondido, CA",5.1%,4.9,4.6,4.8,Solid wit. Slightly watery finish.,a flat coriander mid beer
,,,Orange Wheat,WHEAT ALES,American Pale Wheat Beer,HANGAR 24 BREWING,"Redlands, CA",4.6%,4.7,,,Smells and tastes more orange-y than either Shock Top or Blue Moon. ,
,,,Ingenue,WHEAT ALES,Witbier,BOOMTOWN BREWERY,"Los Angeles, CA",4.8%,4.0,5.2,4.6,"Yeasty as all hell. Like a bready, eggy hefe.","more a wit than a ""belgian"", but overall really yeasty"
,,,Orange Avenue Wit,WHEAT ALES,Witbier,CORONADO BRWEING COMPANY,"Cornado, CA",5.2%,4.5,4.6,4.6,Orange soda beer. For sure not a wit. Orange Cart (original comment this time).,orange cart (sue me) with zero wit
,,,Pike PRIDE Wit,WHEAT ALES,Witbier,PIKE BREWING COMPANY,"Seattle, WA",5.1%,4.8,4.3,4.6,Not gay enough. ,"more belgian than a wit, more hefe than a wit, and yet still not enough of either"
,,,Stargaze Wit,WHEAT ALES,Witbier,LOST COAST BREWERY,"Eureka, CA",4.5%,4.4,4.6,4.5,Club soda with some hints of wit flavors.,"ever so floral, light but a bit watery"
,,,Guava Cart,WHEAT ALES,Fruit and Field Beer,GOLDEN ROAD BREWING,"Los Angeles, CA",5.0%,4.5,4.2,4.4,Mango cart SUB guava.,"mango cart adjacent, get this if you like guava instead"
,,,Mango Cart,WHEAT ALES,American Pale Wheat Beer,GOLDEN ROAD BREWING,"Los Angeles, CA",4.0%,4.6,4.2,4.4,Mango beer.,in literally every bar in California
,,,Windansea Hefe,WHEAT ALES,Hefeweizen,KARL STRAUSS BREWING COMPANY,"Anaheim, CA",5.1%,4.2,4.5,4.4,Has good clove and then none of the citrus or banana you expect from a hefe.,"another omega lite, with a non-hefe floralness"
,,,Shock Top Belgian White,WHEAT ALES,Witbier,ANHEUSER-BUSCH COMPANIES,"St. Louis, MO",5.2%,4.6,3.8,4.2,"Little more tangy than Blue Moon, otherwise similarly citrus-y with only orange pith flavors. ","sharp initial orange, but then only the peel"
,,,Einstök Icelandic White Ale,WHEAT ALES,Witbier,EINSTÖK ÖLGERÐ,"Akuyeri, ICELAND",5.2%,4.2,4.0,4.1,Thought it was an IPA.,an IPA in beer's clothing
,,,Hoegaarden Original White Ale,WHEAT ALES,Witbier,BROUWERIJ VAN HOEGAARDEN,"Hoegaarden, BELGIUM",4.9%,4.5,3.7,4.1,Nailed the coriander and orange peel taste but the smell was kind of jarring. ,"coriander and orange peel indeed, but holy shit does it stink"
,,,Weihenstephaner Hefeweissbier Dunkel,WHEAT ALES,Dunkelweizen,BAYERISCHE STAATSBRAUEREI WEIHENSTEPHAN,"Freising, GERMANY",5.3%,5.2,2.7,4.0,The yuck at the bottom of the glass is criminal.,minus points for the vomit chunks
,,,Prickly Pear Hef,WHEAT ALES,Hefeweizen,GARAGE BREWING COMPANY,"Murrieta, CA",5.5%,4.0,3.8,3.9,"Nutty? Hoppy? Either way, not hefe notes. Some citrus masked with, uhhh, milk??","slightly medicinal, slightly milky, slightly gross"
,,,Prickly Pear Honey Wheat Beer,WHEAT ALES,American Pale Wheat Beer,BJ'S BREWHOUSE,"West Covina, CA",6.4%,3.5,4.2,3.9,Just get Mango Cart instead.,fruit tea with hints of grass
,,,Black Light,WHEAT ALES,American Dark Wheat Beer,ANDERSON VALLEY BREWING COMPANY,"Boonville, CA",3.8%,3.5,4.1,3.8,"Try their Black Rice Ale. Same thing, just not watered down and bland.",light porter vibes
🆕,,,Baptist Wit,WHEAT ALES,Witbier,BROUWERIJ VAN STEENBERGE,"Evergem, BELGIUM",5.0%,3.5,3.9,3.7,Flower water. ,tastes like whiffs of perfume
,,,Occidental Hefeweizen,WHEAT ALES,Hefeweizen,OCCIDENTAL BREWING COMPANY,"Portland, OR",4.7%,2.9,2.8,2.9,Salty and weird. ,honestly just weird lmao
,,,Harvest Hefeweizen,WHEAT ALES,Hefeweizen,BJ'S BREWHOUSE,"West Covina, CA",4.9%,3.5,1.2,2.4,Yeasty water. Supposedly a BJ's best-seller.,wow they bottle this shit
,,,Great White,WHEAT ALES,Witbier,LOST COAST BREWERY,"Eureka, CA",4.8%,3.1,1.1,2.1,Bland with no real wit flavors. ,flat piss
,,,Sunshine Coast Hefeweizen,WHEAT ALES,Hefeweizen,GRANVILLE ISLAND BREWING COMPANY ,"Vancouver, CANADA",5.0%,,,,,
,,,Ayinger Bräuweisse,WHEAT ALES,Hefeweizen,AYINGER PRIVATBRAUEREI,"Aying, GERMANY",5.1%,,,,,hazy but no fruit? quite peculiar ngl
,,,Paulaner Hefe-Weissbier Dunkel,WHEAT ALES,Dunkelweizen,PAULANER BRAUEREI MÜNCHEN,"Munich, GERMANY",5.3%,,,,,
,,,Erdinger Weissbier Kristallklar,WHEAT ALES,Kristallweizen,PRIVATBRAUEREI ERDINGER WEISSBRÄU,"Erding, GERMANY",5.3%,,,,,
,,,Paulaner Weissbier Kristallklar,WHEAT ALES,Kristallweizen,PAULANER BRAUEREI MÜNCHEN,"Munich, GERMANY",5.2%,,,,,
🆕,,,Schneider Weisse Tap 4: Meine Festweisse,WHEAT ALES,Hefeweizen,G. SCHNEIDER & SOHN,"Kelheim, GERMANY",6.2%,,,,,
,⭐,⭐,St. Bernardus Abt. 12,STRONG ALES,Quadrupel,SINT BERNARDUS BROUWERIJ,"Watou, BELGIUM",10.0%,9.9,9.8,9.9,The quad that started it all. I don't know what a 10.0 could possibly be.,I bought merch.
,,⭐,Rochefort 10,STRONG ALES,Quadrupel,BRASSERIE DE ROCHEFORT,"Rochefort, BELGIUM",11.3%,9.2,9.0,9.1,More intense and alcohol forward than Abt. 12. Oddly too sweet.,"Bernardus minus one, tasty"
,⭐,⭐,Gulden Draak 9000 Quadruple,STRONG ALES,Quadrupel,BROUWERIJ VAN STEENBERGE ,"Evergem, BELGIUM",10.7%,9.0,8.6,8.8,Werther's Originals™,Caramel-Fuck-You-Up-Beer
,⭐,⭐,La Trappe Quadrupel,STRONG ALES,Quadrupel,BROUWERIJ DE KONINGSHOEVEN,"Berkel-Enschot, NETHERLANDS",10.0%,8.7,8.9,8.8,My favorite tripel.,light crispy Rochefort
,⭐,⭐,St. Bernardus Watou Tripel,STRONG ALES,Tripel,SINT BERNARDUS BROUWERIJ,"Watou, BELGIUM",7.5%,8.5,8.2,8.4,"Lighter body of the regular Tripel, yet more Abt. 12 flavors. I feel lied to.",Upset of the year.
,,⭐,Yard House Cuvée,STRONG ALES,Tripel,BROUWERIJ VAN STEENBERGE ,"Evergem, BELGIUM",6.5%,8.2,8.3,8.3,"Not as syruppy thick as the House Belgian, but buttery smooth tripel notes.","tripel fragrance, buttery linger, fuckin fantastic (guess it counts as a tripel)"
,,⭐,Rochefort 8,STRONG ALES,Belgian Dark Strong Ale,BRASSERIE DE ROCHEFORT,"Rochefort, BELGIUM",9.2%,8.2,8.0,8.1,Deserves its gold medal. ,"might be my 2nd favorite of the rochefort's, light fizz, not a sickening caramel, among the best of the family"
,,⭐,Tripel Karmeliet,STRONG ALES,Tripel,BROUWERIJ BOSTEELS,"Buggenhout, BELGIUM",8.4%,8.0,8.1,8.1,Must be sipped. Definitely strong.,"crispy quint tripel, damn nice sipper"
,⭐,⭐,Delirium Tremens,STRONG ALES,Belgian Pale Strong Ale,BROUWERIJ HUYGHE,"Melle, BELGIUM",8.5%,7.9,8.1,8.0,Could've told me it was a tripel.,"clean af ""tripel"", fruity off the top and really flavorful finish"
,⭐,⭐,Duvel,STRONG ALES,Belgian Pale Strong Ale,BROUWERIJ DUVEL MOORTGAT ,"Breendonk, BELGIUM",8.5%,8.0,8.0,8.0,A true gateway beer. ,"true gatekeeper, liquid gold"
,⭐,,St. Bernardus Christmas Ale,STRONG ALES,Quadrupel,SINT BERNARDUS BROUWERIJ,"Watou, BELGIUM",10.0%,8.1,7.8,8.0,"""It's the moost wonderful tiiiiime of the yeearr""","actual Christmas ale, heavy on the christmas"
,,,St. Bernardus Tripel,STRONG ALES,Tripel,SINT BERNARDUS BROUWERIJ,"Watou, BELGIUM",8.0%,7.8,7.9,7.9,"Abt 12, but scaled down and lighter.",^^^ Ayo? Like holy shit? ^^^
,,,Westmalle Trappist Tripel,STRONG ALES,Tripel,BROUWERIJ DER TRAPPISTEN VAN WESTMALLE,"Westmalle, BELGIUM",9.5%,8.2,7.4,7.8,"Watou Tripel, but a tad bitter at the end.","very buttery, yet nice and crisp"
,,,Brother Thelonious,STRONG ALES,Belgian Dark Strong Ale,NORTH COAST BREWING COMPANY,"Fort Bragg, CA",9.4%,7.8,7.8,7.8,Jazzy. Nice lingering sweetness of figs or plums. ,"dark, malty, a proper return to form after a stout-y night"
,,⭐,Quad Help Us,STRONG ALES,Quadrupel,BREWJERIA COMPANY,"Pico Rivera, CA",8.4%,7.6,8.0,7.8,"Abt. 12 Lite. Actually crazy how well they did. Light on the body, very well balanced sweetness.","abby 12 lite, like, legit, actually what the fuck"
,,,Gouden Carolus Tripel,STRONG ALES,Tripel,BROUWERIJ HET ANKER,"Mechelen, BELGIUM",9.0%,7.5,7.8,7.7,"Amazing on the nose. Another benchmark tripel, just not as sweet as some others.","smells fuckin fantastic, relatively lite tripel"
,,,Yard House Belgian Golden,STRONG ALES,Belgian Pale Strong Ale,BROUWERIJ VAN STEENBERGE ,"Evergem, BELGIUM",10.5%,7.8,7.6,7.7,Like Drak 9000 but hits even harder with the tripel notes and the syruppy sweetness.,"actually pretty darn good, tripel notes, slight fruit, definitely golden"
,,,Piraat Belgian Ale,STRONG ALES,Belgian Pale Strong Ale,BROUWERIJ VAN STEENBERGE ,"Evergem, BELGIUM",10.5%,7.6,7.5,7.6,Draak 9000 just not as sweet.,just drink duvel
,,,Fade to Plaid,STRONG ALES,Scotch Ale / Wee Heavy,MCMENAMINS,"Portland, OR",8.3%,7.6,,,"Slightly alcohol forward, but omega malt.",
,,,Gulden Draak Original,STRONG ALES,Belgian Dark Strong Ale,BROUWERIJ VAN STEENBERGE ,"Evergem, BELGIUM",10.5%,7.5,7.7,7.6,More alcohol forward than 9000 or Piraat.,piraat but better (just drink duvel)
,,,Kagua Blanc,STRONG ALES,Belgian Pale Strong Ale,NIPPON BEER COMPANY**,"Brakel, BELGIUM",8.0%,7.5,7.6,7.6,"""Season to taste with freshly ground pepper."" ",Father Tong's seal of approval
,,,Rochefort Triple Extra,STRONG ALES,Tripel,BRASSERIE DE ROCHEFORT,"Rochefort, BELGIUM",8.1%,7.5,7.5,7.5,Maybe a benchmark tripel. Only missing points for the sediment in the bottle.,Just Plain Good
,,,Straffe Hendrik Quadrupel,STRONG ALES,Quadrupel,BROUWERIJ DE HALVE MAAN,"Bruges, BELGIUM",11.0%,7.9,7.1,7.5,Quadrupel Karmeliet. Excellent on the nose.,"super sweet for a quad, nice on the nose, 11% where"
,,,Yard House Amber Tripel,STRONG ALES,Tripel,BRASSERIE DE SILLY,"Silly, BELGIUM",9.0%,7.8,7.2,7.5,Lighter body than the Yard House Belgian with more malt. Damn nice beer.,"the lesser of the three belgian strongs, but still pretty good"
,,,Matilda,STRONG ALES,Belgian Pale Strong Ale,GOOSE ISLAND BEER COMPANY,"Chicago, IL",7.0%,7.5,7.2,7.4,A Duvel with all the good parts of a sour. Fruity with lemon tartness. Super cheap.,"very fragrant, nice citrus notes, not your mom's strong ale"
,,,Allagash Tripel,STRONG ALES,Tripel,ALLAGASH BREWING COMPANY,"Portland, MA",9.0%,7.4,7.1,7.3,Checks the tripel boxes on the light side. Still sweet and smooth with no booziness.,"not the usual tripel notes, but very nice and lite, a sneaky 9.2% for sure"
,,,Grapes of Wrath,STRONG ALES,Tripel,BREWJERIA COMPANY,"Pico Rivera, CA",9.1%,7.5,7.1,7.3,The real Champagne of Beers©. Truly comes off like a hoppy white wine; needs more Belgian.,"sneakiest 9% in the world, finishes like a dry moscato"
,,,La Chouffe Blonde,STRONG ALES,Belgian Pale Strong Ale,BRASSERIE D'ACHOUFFE,"Achouffe, BELGIUM",8.0%,7.7,6.9,7.3,Body and finish is much lighter and less substantial than Duvel. Almost lager-y. ,"tastes like a nice strong lager (new note: ""ale brewed with coriander"" indeed, great drink)"
,,,Delirium Noël (Christmas),STRONG ALES,Belgian Dark Strong Ale,BROUWERIJ HUYGHE,"Melle, BELGIUM",10.0%,7.4,6.8,7.1,"A smoother, more refined, better spiced Nocturnum. Don't even taste the extra 1.5%.",a more approachable belgium strong
,,,Horny Devil,STRONG ALES,Belgian Pale Strong Ale,ALESMITH BREWING COMPANY,"San Diego, CA",10.0%,6.9,7.3,7.1,"Duvel++, covers the palatte in sweet banana-ness but not sure I'd want a whole glass.","smells of mango and tastes like ???, lingering taste with great body"
,,,Pauwel Kwak,STRONG ALES,Belgian Pale Strong Ale,BROUWERIJ BOSTEELS,"Buggenhout, Belgium ",8.4%,7.0,7.1,7.1,Honey Nut Beer-ios,"honey, caramel, very rich and complex sweetness"
,,,Gouden Carolus Noël,STRONG ALES,Belgian Dark Strong Ale,BROUWERIJ HET ANKER,"Mechelen, BELGIUM",10.5%,7.3,6.5,6.9,"Slightly too sweet and not very spiced, but some amazing dried fruit smells and flavors.","a bit too much, pretty damn rich"
,,,McEwan's Scotch Ale,STRONG ALES,Scotch Ale / Wee Heavy,CARLSBERG MARSTONS BREWING COMPANY,"Bedford, ENGLAND",8.0%,6.8,6.9,6.9,Like a cola without the syrup. ,root BEER™ 
,,,Nave Belgian Golden Strong,STRONG ALES,Belgian Pale Strong Ale,BREWJERIA COMPANY,"Pico Rivera, CA",7.6%,7.0,6.7,6.9,Definitely tastes like a Duvel underneath. Slight hop bitterness and upfront sweetness.,"slight butter, ultra malt, almost chewable, duvel light but a lil weird"
,,,Kilt Lifter,STRONG ALES,Scotch Ale / Wee Heavy,PIKE BREWING COMPANY,"Seattle, WA",6.5%,6.1,7.2,6.7,"Roasted toffee notes are nice, definitely got some bitter. Comes off like a malty brown ale.","malty, roasty goodness"
,,,Old Fashioned,STRONG ALES,American Strong Ale,ANDERSON VALLEY BREWING COMPANY,"Boonville, CA",8.3%,6.7,6.7,6.7,Have to sip on it. Good take on a bourbon barrel beer. Almost goes down like wine.,"first of these barrel aged things that I really like, orange peel on the nose, good sippin"
,,,Damnation,STRONG ALES,Belgian Pale Strong Ale,RUSSIAN RIVER BREWING COMPANY,"Santa Rosa, CA",7.5%,6.9,6.2,6.6,"Solid in class, otherwise unspectacular.","definitely one of em', a good gatekeeper"
,,,Terrible,STRONG ALES,Quadrupel,UNIBROUE,"Quebec, CANADA",10.5%,6.5,6.7,6.6,"Solid quad with a lighter than expected mouthfeel. Very, very sweet. ","lite quad, typical quad notes but lighter than others"
,,,Allagash Curieux ,STRONG ALES,Tripel,ALLAGASH BREWING COMPANY,"Portland, MA",10.2%,7.4,5.4,6.4,Solid tripel underneath with some extra smooth vanilla caramel finish. Not bad.,"too fizzy for a tripel, coriander with smooth bourbon barrel finish, not the usual notes"
,,,Chimay Cent Cinquante 150 (Green),STRONG ALES,Belgian Pale Strong Ale,BRASSERIE DE CHIMAY,"Chimay, BELGIUM",10.0%,6.4,6.3,6.4,"Bitter, seltzer-water-like finish. Lighter in flavors than others in class.","lite belgium strong, notes are present but extrememly light, slightly better/stronger in bottle"
,,,Chimay Cinq Cents Tripel (White),STRONG ALES,Tripel,BRASSERIE DE CHIMAY,"Chimay, BELGIUM",8.0%,6.8,5.9,6.4,Nailed the tripel flavors. Finishes too bitter. ,"hops and spice, but not worth the price of entry"
,,,Delirium Nocturnum,STRONG ALES,Belgian Dark Strong Ale,BROUWERIJ HUYGHE,"Melle, BELGIUM",8.5%,6.2,6.5,6.4, Very alcohol forward. Why didn't they clean it? ,With Pulp!
,,,Don De Dieu,STRONG ALES,Tripel,UNIBROUE,"Quebec, CANADA",9.0%,6.8,6.0,6.4,I quite like this spicy zesty orange marmalade caramel beer. ,zesty caramel bubbly goodness
,,,Third Window Quadrupel,STRONG ALES,Quadrupel,THIRD WINDOW BREWING COMPANY,"Santa Barbara, CA",12.0%,6.2,6.6,6.4,"Cannot taste any of the 12%, so bonus points. But more of a dubbel that's too sweet.","not a quad, dark fruit juice, dark beer, zero quad/belgian notes, but still nice drink"
,,,La Trappe Tripel,STRONG ALES,Tripel,BROUWERIJ DE KONINGSHOEVEN,"Berkel-Enschot, NETHERLANDS",8.0%,6.5,6.1,6.3,Solid tripel that just doesn't stand out.,"fizzy tripel, nothing stands out but a very decent drink"
,,,Monk's Uncle,STRONG ALES,Tripel,PIKE BREWING COMPANY,"Seattle, WA",9.9%,4.5,7.7,6.1,"A Monkey quad with more booze. Super yeasty, super booze-y. Almost no Belgian. YMMV?","spot on tripel, tea tannin notes for sure, awesome drink"
,,,Third Window Tripel,STRONG ALES,Tripel,THIRD WINDOW BREWING COMPANY,"Santa Barbara, CA",9.2%,6.3,6.2,6.3,"Does a great job hitting the tripel smells and flavors, just slightly light on the body.","light and fruity, but missing the typical richness of a tripel"
,,,New Belgium Trippel,STRONG ALES,Tripel,NEW BELGIUM BREWING COMPANY,"Fort Collins, CO",8.5%,6.0,6.4,6.2,I thought it wasn't a tripel. ,👏👏👏 for dongo's taste buds
,,,Old Stock Ale 2023,STRONG ALES,Old Ale,NORTH COAST BREWING COMPANY,"Fort Bragg, CA",10.9%,6.5,5.8,6.2,A manly man's strong ale.,actually syrupy lol
,,,Wipers Times Tripel,STRONG ALES,Tripel,BROUWERIJ KAZEMATTEN,"Ypres, BELGIUM ",8.2%,5.8,6.6,6.2,Smells bubblegum sweet with a ton of fruit and coriander. Too fizzy; finishes like soda water.,"sharp bubbles...again, fuck load of coriander, really great sipping beer after the bubbles settle"
,,,Dark Winter Belgian Noel,STRONG ALES,Quadrupel,BREWJERIA COMPANY,"Pico Rivera, CA",11.0%,6.2,5.7,6.0,"Less spiced than their holiday porter. Very sweet, strong dark fruit and corriander. ","extreme dark fruit, sweet af but with decent belgian notes"
,,,La Fin Du Monde,STRONG ALES,Tripel,UNIBROUE,"Quebec, CANADA",9.0%,6.5,5.2,5.9,"You can taste the ABV and a weird herbalness. Has strong ale vibes under it all, but only just.","relatively light, doesn't hit the notes i expect in tripels"
,,,Belhaven Wee Heavy,STRONG ALES,Scotch Ale / Wee Heavy,BELHAVEN BREWERY,"Belhaven, SCOTLAND",6.5%,5.5,5.7,5.6,Slightly too sweet. Malt forward.,"too sweet, but def a cola beer"
,,,Falcon Wee Heavy,STRONG ALES,Scotch Ale / Wee Heavy,OUTER PLANET BREWING,"Seattle, WA",8.3%,5.8,5.3,5.6,Little on the boozy side. Was definitely expecting more malt. Overall sits on the light side. ,boozy but easy sipping beer
,,,Brother David's Triple Abbey Style Ale,STRONG ALES,Tripel,ANDERSON VALLEY BREWING COMPANY,"Boonville, CA",10.0%,5.4,5.6,5.5,A for effort. Not a bad take on a Belgian. Strong orange and finishes creamy.,"just the orange peel, good notes, wrong proportions, slight dry finish"
,,,Humos Santos (Holy Smokes),STRONG ALES,Quadrupel,BREWJERIA COMPANY,"Pico Rivera, CA",9.1%,6.0,4.8,5.4,"More convincing as a dubbel than a quad. Fizzy, chocolatey, Cherry Dr. Pepper beer.","heavy on cherry syrup, flat and kinda unsatistfying"
,,,Chimay Grande Réserve (Blue),STRONG ALES,Belgian Dark Strong Ale,BRASSERIE DE CHIMAY,"Chimay, BELGIUM",9.0%,6.1,3.8,5.0,Has the maltiness and sweetness of a dark Belgian. Odd bitterness and yeastiness.,"high key weird, esp in my drunken state"
,,,Kentucky Mule 2021,STRONG ALES,American Barleywine,FIRESTONE WALKER BREWING COMPANY,"Paso Robles, CA",11.8%,4.9,5.0,5.0,"I said it tasted like Chicken Cup Noodles. Very strong ginger lime, as a Moscow mule should be.",chicken cup noodles with a with a shitload of ginger
,,,Hitachino Nest Red Rice Ale,STRONG ALES,Belgian Pale Strong Ale,KIUCHI BREWERY,"Ibaraki, JAPAN",7.0%,4.5,4.9,4.7,Now we know why it doesn't taste like a red: it isn't one. Smoky brown ale flavors.,"weird smokiness, almost nice, but honestly way too much hype"
,,,Submission,STRONG ALES,Belgian Pale Strong Ale,BOOMTOWN BREWERY,"Los Angeles, CA",8.6%,4.9,4.4,4.7,"Way, way, way too boozy. Hits the Belgian notes, just very rough on the way down. ","off flavored, belgian really in name only"
,,,Pranqster,STRONG ALES,Belgian Pale Strong Ale,NORTH COAST BREWING COMPANY,"Fort Bragg, CA",7.6%,5.0,4.0,4.5,Duvel Lite? Got better as I finished it.,yeah i got pranked alright
,,,Three Philosophers Nitro,STRONG ALES,Quadrupel,BREWERY OMMEGANG,"Coppertown, NY",9.7%,3.8,5.2,4.5,"Zero belgian notes and body comes out way too light for a quad. Can't taste the almost 10%, because it's just dark aged fruit snacks.","sweet, dark fruit with ever so slight creaminess from the nitro, nitro kinda dilutes the wanted notes"
,,,Tripel Dragon,STRONG ALES,Tripel,COMMON SPACE BREWERY,"Hawthorne, CA",9.0%,4.4,,,A tripel for IPA lovers.,
,,,Berry Monkey ,STRONG ALES,Tripel,VICTORY BREWING COMPANY,"Downingtown, PA",9.5%,4.2,4.4,4.3,"""It's grrrrr-apefruit!""™ ","not a sour monkey, but definitely a strong note of citrus rind bitterness"
,,,Plaid Habit Imperial Brown Ale,STRONG ALES,American Strong Ale,BOULEVARD BREWING COMPANY,"Kansas City, MO",13.9%,4.2,4.4,4.3,Strong raisin and fig flavors that are slowly overpowered by syruppy sweetness.,"heavy barrel and dark fruit notes, better for sipping than the equivalent stout"
,,,Summer Triple,STRONG ALES,Tripel,MAMMOTH BREWING COMPANY,"Mammoth Lakes, CA",7.2%,4.2,4.3,4.3,Americans should just stay in their lane and stop IPA-ing other beers.,kinda just ok
,,,Golden Monkey,STRONG ALES,Tripel,VICTORY BREWING COMPANY,"Downingtown, PA",9.5%,4.0,3.8,3.9,Hits the tripel notes but strong on the alcohol.,oo oo aa aa
,,,Kerel Kaishaku,STRONG ALES,Belgian Pale Strong Ale,VBDCK BREWERY,"Temse, BELGIUM",15.0%,3.8,4.0,3.9,"Really strong on the booze, really strong on the sweetness, almost no Belgian notes.","a poor take on a belgian, too light of a body with tons of isopropyl"
,,,La Trappe Practise What You Preach,STRONG ALES,Quadrupel,BROUWERIJ DE KONINGSHOEVEN,"Berkel-Enschot, NETHERLANDS",10.0%,3.5,4.0,3.8,"They promised Scottish honey but all I got was a grassy, spicy, 10% drink.","taste every percent of alc, straight isopropyl in the beginning, middle, and end"
,,,Dirty Bastard,STRONG ALES,Scotch Ale / Wee Heavy,FOUNDERS BREWING COMPANY,"Grand Rapids, MI",8.5%,3.0,4.4,3.7,No belgian flavors. Bitter and medicinally dark and fruity. ,dark fruit sweetness with a bit of medcine cabinet
,,,Stupid Monk-E,STRONG ALES,Tripel,TRIPELHORN BREWING,"Woodinville, WA",9.0%,3.6,3.3,3.5,Smells vaguely like a Belgian with zero Belgian taste. No fizz and some odd dark fruit notes. ,"yeast bomb with zero belgian notes, wax cap was a scam"
,,,The Sixth Glass Quadupel Ale,STRONG ALES,Quadrupel,BOULEVARD BREWING COMPANY,"Kansas City, MO",10.2%,3.7,2.8,3.3,"Some of the typical quad notes but all kinda wrong. Still feels like a ""targeted'"" flavor.","kinda whatever, but still a fuck you up juice"
,,,Bourbon Barrel Quad,STRONG ALES,Quadrupel,BOULEVARD BREWING COMPANY,"Kansas City, MO",11.8%,3.6,2.5,3.1,As advertised.,"actual bourbon beer, feels like a stunt beer"
,,,Brett Finished Tripel,STRONG ALES,Tripel,ANDERSON VALLEY BREWING COMPANY,"Boonville, CA",10.0%,,2.6,,,"awful ""tripel"", none of the notes you want. where's the ""non-brett finished"" version"
,,,Sour Monkey,STRONG ALES,Tripel,VICTORY BREWING COMPANY,"Downingtown, PA",9.5%,2.8,2.1,2.5,Lemonade with no sugar. Zero signs of 9.5%.,"""goddamn that's a sour monkey!"" - real quote i promise"
,,,"Arrogant Bastard Ale",STRONG ALES,American Strong Ale,ARROGANT CONSORTIA**,"Escondido, CA",7.2%,2.6,2.4,2.5,"Misleading first hint of coffee and chocolate, and now the bitter won't get out of my mouth.","real bitter, Chinese medicine and nothing else"
,,,Purple Tears,STRONG ALES,Belgian Pale Strong Ale,FLASHPOINT BREWING COMPANY,"Huntington Beach, CA",9.5%,3.0,1.2,2.1,"Weird nuttiness off the top, then it's all super boozy with none of the typical Belgian ale notes.","absolutely zero reason to drink this, even with a fizz"
,,,Old Chub,STRONG ALES,Scotch Ale / Wee Heavy,OSKAR BLUES BREWERY,"Lyons, CO",8.0%,2.0,0.5,1.3,Damn shame it smells like a fish tank.,"actually rancid, fuck this beer"
,,,Westvleteren XII,STRONG ALES,Quadrupel,BROUWERIJ WESTVLETEREN,"Vleteren, BELGIUM",10.2%,,,,,
,,,St. Bernardus Abt. 12 Oak Aged,STRONG ALES,Quadrupel,SINT BERNARDUS BROUWERIJ,"Watou, BELGIUM",11.0%,,,,,
,,,Tripel Van De Garre ,STRONG ALES,Tripel,BROUWERIJ VAN STEENBERGE ,"Evergem, BELGIUM",11.0%,,,,,
🆕,,,Tripel With a Twist,STRONG ALES,Tripel,BREWERY OMMEGANG,"Coppertown, NY",9.0%,,,,,
🆕,,,3 French Hens,STRONG ALES,Belgian Dark Strong Ale,THE BRUERY,"Placentia, CA",10.0%,,,,,
,,,Old Stove Belgian Dubbel,DARK ALES,Dubbel,OLD STOVE BREWING COMPANY,"Seattle, WA",8.0%,7.9,7.3,7.6,Better than the Bernardus dubbels.,<<< I disagree.
,,,La Trappe Dubbel,DARK ALES,Dubbel,BROUWERIJ DE KONINGSHOEVEN,"Berkel-Enschot, NETHERLANDS",7.0%,7.3,7.0,7.2,A simpler Abt. 12. Clean finish.,"pretty darn good, fruit, tart, not too sweet, but still full. hint of lingering alcohol"
,,,St. Bernardus Prior 8,DARK ALES,Dubbel,SINT BERNARDUS BROUWERIJ,"Watou, BELGIUM",8.0%,7.0,6.9,7.0,Getting closer to Abt 12. More alcohol forward than Pater 6.,"abt 12 with more alchohol, a weird combo of pater 6 and abt 12"
,,,Third Window Dubbel,DARK ALES,Dubbel,THIRD WINDOW BREWING COMPANY,"Santa Barbara, CA",7.5%,6.8,6.5,6.7,"Not too complex in flavor, decent Belgian notes. Like a lighter, fizzier quad. ","mmm, light, small bubbles, tripel notes and fragrance"
,,,Chimay Première Rouge (Red),DARK ALES,Dubbel,BRASSERIE DE CHIMAY,"Chimay, BELGIUM",7.0%,6.6,6.2,6.4,Uniquely woodsy but tough to nail down. Has some hints of caramel sweetness. ,"a good brown ale, which i feel like it shouldn't be at all"
,,,Rochefort 6,DARK ALES,Dubbel,BRASSERIE DE ROCHEFORT,"Rochefort, BELGIUM",7.5%,6.8,5.9,6.4,Solid flavor and complexity rivaling a quad. Really alcohol heavy. ,"butterscotch quad lite, but with all the alc left in it"
,,,St. Bernardus Pater 6,DARK ALES,Dubbel,SINT BERNARDUS BROUWERIJ,"Watou, BELGIUM",6.7%,6.5,5.7,6.1,"Good body, but lacking the usual Bernardus richness and flavors. ","missing the typical bernadus notes, relatively alcohol heavy"
